,type,name,nhab,services,rating,price_night,district_id,airbnb_id
51,Habitacion privada,Luxury Room with En Suite Bathroom,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Aire acondicionado,4.72,78,1,167
52,Habitacion privada,"Doble Room, Ramblas. Habitacion doble",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.4,52,1,81
53,Habitacion privada,Super nice room for a balcony,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.58,65,1,240
54,Habitacion privada,Best location La Rambla private bathroom and A.C,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Lavadora,4.59,65,1,39
55,Habitacion privada,Nice Room Macba,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi,4.81,65,1,179
56,Habitacion de hostal,Habitacion Doble con bano privado - 2 camas,"2 huespedes * 1 dormitorio * 2 camas * 1,5 banos",Wifi * Aire acondicionado,5.0,69,1,117
57,Habitacion privada,Habitacion moderna en el born,2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi,4.78,52,1,137
59,Habitacion privada,Room in the center of Barcelona 1,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.44,55,1,207
60,Habitacion privada,"Large cosy room in medieval town, city centre",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.8,83,1,155
61,Habitacion privada,Unique & Quiet Space in Heart of Barcelona,"3 huespedes * 1 dormitorio * 2 camas * 1,5 banos compartidos",Wifi * Cocina * Lavadora * Aire acondicionado,4.97,57,1,248
62,Habitacion privada,Large room with private balcony 1,4 huespedes * 1 dormitorio * 3 camas * 1 bano compartido,Wifi * Cocina,4.54,71,1,156
63,Habitacion privada,Stylish Balcony Private Room,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.62,53,1,233
64,Habitacion privada,"Room whith private bathroom, center near beach",4 huespedes * 1 dormitorio * 3 camas * 1 bano privado,Wifi * Cocina * Aire acondicionado,4.42,70,1,213
65,Habitacion de hostal,Pension Ciudadela - Individual - Tarifa estandar,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.73,59,1,185
66,Habitacion de hotel,Lovely Double Room with balcony Born,2 huespedes * 1 dormitorio * 1 bano privado,Wifi * Aire acondicionado,4.62,77,1,160
67,Habitacion privada,Cuarto Doble Acogedor en centro BCN. Calefaccion,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.84,65,1,73
68,Habitacion privada,Barcelona One,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.41,40,1,29
69,Habitacion privada,Beauty Room for 2 Persons Centre El Born,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.72,77,1,38
70,Habitacion privada,Habitacion doble ( tranquila) cerca de Las Ramblas,2 huespedes * 1 dormitorio * 2 camas * 2 banos compartidos,Wifi * Lavadora,4.9,50,1,127
71,Habitacion privada,Luxurious Room with En Suite Bathroom,2 huespedes * 1 dormitorio * 1 bano privado,Wifi * Cocina * Aire acondicionado,4.88,95,1,166
72,Habitacion privada,Luxury room with private bathroom 2,3 huespedes * 1 dormitorio * 1 bano privado,Wifi * Cocina * Lavadora,4.53,76,1,169
73,Habitacion privada,Habitacion-1,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.73,51,1,112
74,Habitacion privada,Beautiful Bedroom Barcelona City Center,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.84,66,1,33
75,Habitacion privada,HAB PRIVADA,"2 huespedes * 3 dormitorios * 1 cama * 1,5 banos compartidos",Wifi * Aire acondicionado,4.52,45,1,105
76,Habitacion privada,Large room with private bathroom and balcony a,4 huespedes * 1 dormitorio * 4 camas * 1 bano compartido,17 dic. - 19 dic.,,70,1,157
77,Habitacion privada,Habitacion privada en el gotico,"2 huespedes * 1 dormitorio * 2 camas * 1,5 banos",Wifi * Cocina * Lavadora,4.94,53,1,141
78,Alojamiento entero: piso,OLA LIVING BORN 10 ATTIC,2 huespedes * Estudio * 1 cama * 1 bano,Wifi * Cocina * Aire acondicionado,4.0,102,1,181
79,Alojamiento entero: loft,Centric studio de Born,"3 huespedes * 1 dormitorio * 3 camas * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,4.2,90,1,53
80,Alojamiento entero: piso,My Address in Plaza Real views,4 huespedes * 2 dormitorios * 4 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Aire acondicionado,4.42,175,1,174
81,Habitacion privada,Gorgeous 30 sqm Suite in the heart of Barcelona,4 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Cocina,4.71,78,1,101
83,Habitacion privada,Room in the center of Barcelona 2,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.39,49,1,208
84,Alojamiento entero: piso,Tallers Angels,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.6,136,1,241
85,Habitacion privada,Lovely double room heart Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.41,73,1,163
86,Habitacion privada,Cuarto Doble con Bano privado. Calefaccion.,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.8,79,1,74
87,Habitacion privada,Room close to Las Ramblas E3,3 huespedes * 1 dormitorio * 3 camas * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.27,58,1,206
88,Habitacion de hotel,"Habitacion Twin, en el corazon de Barcelona",2 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Aire acondicionado,4.36,75,1,121
89,Habitacion privada,Dormitorio X 2 personas LOVE- AIR,2 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Cocina,4.2,53,1,83
90,Habitacion privada,Agradable habitacion en pleno centro de Barcelona,"1 huesped * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Aire acondicionado,4.57,29,9,17
91,Habitacion privada,Comfortable single room 5' from Sants Station,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.88,39,9,63
92,Habitacion privada,Airy Private Double Bedroom in Central Barcelona,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.76,42,9,18
93,Habitacion privada,habitacion doble cercana a las fuentes de Montjuic,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora * Aire acondicionado,4.73,36,9,257
94,Habitacion privada,"Bonitas vistas en el centro ,",2 huespedes * 1 dormitorio * 1 bano compartido,Wifi,4.79,30,9,41
95,Alojamiento entero: piso,Apto. centrico ideal para parejas,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,4.52,71,9,25
96,Habitacion privada,confortable room,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.47,36,9,254
97,Habitacion privada,Private Double Bedroom in Central Barcelona,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,5.0,54,9,198
98,Alojamiento entero: loft,Un espacio con encanto en Barcelona,1 huesped * Estudio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.81,107,9,247
99,Habitacion privada,Charming private 1 bedroom w/ balcony in Poble Sec,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.86,53,9,55
100,Alojamiento entero: piso,"SAN&SUN, vintage loft in city center",4 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Aire acondicionado,4.71,101,9,217
101,Alojamiento entero: piso,Penthouse with terrace (plaza Espana),2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.83,96,9,186
102,Habitacion privada,Central room in plaza Espana,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Aire acondicionado,4.75,53,9,49
103,Habitacion privada,Habitacion con dos camas individuales en Poblesec,2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.81,42,9,124
104,Habitacion privada,B&B 1 -Habitacion privada cerca Estacion de Sants.,1 huesped * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi,4.32,36,9,27
105,Habitacion privada,Spotless db room + private bathroom Sants Stn,3 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.81,73,9,231
106,Habitacion privada,Habitacion Sants-Monjuic,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,,30,9,108
107,Alojamiento entero: piso,"Bonito y Centrico! Plaza Espana-FIRA- Rambla 10""",2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora,4.49,116,9,44
